,Puts,Bid.1,Ask.1,Vol.1,Expiration,Strike
2031,16 Nov 111.00 (AAPL1618W111-E),2.77,2.84,35,334.0,111.0
2032,16 Nov 111.00 (AAPL1618W111-I),2.78,2.80,300,334.0,111.0
2033,16 Nov 111.00 (AAPL1618W111-J),2.77,2.90,5,334.0,111.0
2035,16 Nov 111.00 (AAPL1618W111-O),2.78,2.80,80,334.0,111.0
2036,16 Nov 111.00 (AAPL1618W111-P),2.78,2.81,44,334.0,111.0
2037,16 Nov 111.00 (AAPL1618W111-S),2.78,2.84,21,334.0,111.0
2038,16 Nov 111.00 (AAPL1618W111-X),2.77,2.84,37,334.0,111.0
2039,16 Nov 111.00 (AAPL1618W111-Y),2.77,2.88,11,334.0,111.0
2040,16 Nov 112.00 (AAPL1618W112),3.30,3.40,591,334.0,112.0
2042,16 Nov 112.00 (AAPL1618W112-4),3.30,3.40,34,334.0,112.0
2043,16 Nov 112.00 (AAPL1618W112-8),3.30,3.40,165,334.0,112.0
2044,16 Nov 112.00 (AAPL1618W112-A),3.30,3.40,3,334.0,112.0
2046,16 Nov 112.00 (AAPL1618W112-E),3.30,3.40,153,334.0,112.0
2047,16 Nov 112.00 (AAPL1618W112-I),3.30,3.40,201,334.0,112.0
2050,16 Nov 112.00 (AAPL1618W112-O),3.30,3.40,11,334.0,112.0
2051,16 Nov 112.00 (AAPL1618W112-P),3.30,3.40,5,334.0,112.0
2052,16 Nov 112.00 (AAPL1618W112-S),3.30,3.40,2,334.0,112.0
2053,16 Nov 112.00 (AAPL1618W112-X),3.30,3.40,8,334.0,112.0
2054,16 Nov 112.00 (AAPL1618W112-Y),3.30,3.40,9,334.0,112.0
2055,16 Nov 113.00 (AAPL1618W113),3.95,4.05,566,334.0,113.0
2057,16 Nov 113.00 (AAPL1618W113-4),3.95,4.05,10,334.0,113.0
2058,16 Nov 113.00 (AAPL1618W113-8),3.95,4.10,234,334.0,113.0
2061,16 Nov 113.00 (AAPL1618W113-E),3.95,4.05,114,334.0,113.0
2062,16 Nov 113.00 (AAPL1618W113-I),3.95,4.05,124,334.0,113.0
2065,16 Nov 113.00 (AAPL1618W113-O),3.95,4.05,65,334.0,113.0
2066,16 Nov 113.00 (AAPL1618W113-P),3.95,4.05,2,334.0,113.0
2068,16 Nov 113.00 (AAPL1618W113-X),3.95,4.05,15,334.0,113.0
2069,16 Nov 113.00 (AAPL1618W113-Y),3.95,4.05,2,334.0,113.0
2070,16 Nov 114.00 (AAPL1618W114),4.65,4.80,99,334.0,114.0
2073,16 Nov 114.00 (AAPL1618W114-8),4.65,4.80,30,334.0,114.0
2074,16 Nov 114.00 (AAPL1618W114-A),4.65,4.80,2,334.0,114.0
2076,16 Nov 114.00 (AAPL1618W114-E),4.65,4.80,45,334.0,114.0
2081,16 Nov 114.00 (AAPL1618W114-P),4.65,4.80,5,334.0,114.0
2083,16 Nov 114.00 (AAPL1618W114-X),4.65,4.80,17,334.0,114.0
2085,16 Nov 115.00 (AAPL1618W115),5.45,5.65,634,334.0,115.0
2087,16 Nov 115.00 (AAPL1618W115-4),5.45,5.65,2,334.0,115.0
2088,16 Nov 115.00 (AAPL1618W115-8),5.45,5.65,55,334.0,115.0
2089,16 Nov 115.00 (AAPL1618W115-A),5.45,5.65,20,334.0,115.0
2090,16 Nov 115.00 (AAPL1618W115-B),5.45,5.65,14,334.0,115.0
2091,16 Nov 115.00 (AAPL1618W115-E),5.45,5.65,166,334.0,115.0
2092,16 Nov 115.00 (AAPL1618W115-I),5.45,5.65,26,334.0,115.0
2095,16 Nov 115.00 (AAPL1618W115-O),5.45,5.60,8,334.0,115.0
2096,16 Nov 115.00 (AAPL1618W115-P),5.45,5.60,324,334.0,115.0
2097,16 Nov 115.00 (AAPL1618W115-S),5.45,5.65,2,334.0,115.0
2098,16 Nov 115.00 (AAPL1618W115-X),5.45,5.65,13,334.0,115.0
2099,16 Nov 115.00 (AAPL1618W115-Y),5.45,5.65,4,334.0,115.0
2100,16 Nov 116.00 (AAPL1618W116),6.35,6.50,54,334.0,116.0
2101,16 Nov 116.00 (AAPL1618W116-3),6.35,6.50,5,334.0,116.0
2103,16 Nov 116.00 (AAPL1618W116-8),6.35,6.50,37,334.0,116.0
2106,16 Nov 116.00 (AAPL1618W116-E),6.35,6.50,7,334.0,116.0
2109,16 Nov 116.00 (AAPL1618W116-K),6.35,6.50,5,,
2115,16 Nov 117.00 (AAPL1618W117),7.25,7.40,122,334.0,117.0
2121,16 Nov 117.00 (AAPL1618W117-E),7.25,7.40,89,334.0,117.0
2126,16 Nov 117.00 (AAPL1618W117-P),7.25,7.45,21,334.0,117.0
2127,16 Nov 117.00 (AAPL1618W117-S),7.25,7.40,11,,
2128,16 Nov 117.00 (AAPL1618W117-X),7.25,7.40,1,334.0,117.0
2130,16 Nov 118.00 (AAPL1618W118),8.15,8.40,138,334.0,118.0
2133,16 Nov 118.00 (AAPL1618W118-8),8.15,8.40,2,334.0,118.0
2136,16 Nov 118.00 (AAPL1618W118-E),8.15,8.40,75,334.0,118.0
2143,16 Nov 118.00 (AAPL1618W118-X),8.15,8.40,61,334.0,118.0
2145,16 Nov 119.00 (AAPL1618W119),9.15,9.35,8,334.0,119.0
2151,16 Nov 119.00 (AAPL1618W119-E),9.10,9.40,5,334.0,119.0
2159,16 Nov 119.00 (AAPL1618W119-Y),9.15,9.35,3,,
2160,16 Nov 120.00 (AAPL1618W120),10.10,10.35,69,334.0,120.0
2162,16 Nov 120.00 (AAPL1618W120-4),10.10,10.35,1,334.0,120.0
2164,16 Nov 120.00 (AAPL1618W120-A),10.10,10.30,3,334.0,120.0
2166,16 Nov 120.00 (AAPL1618W120-E),10.10,10.35,53,334.0,120.0
2167,16 Nov 120.00 (AAPL1618W120-I),10.10,10.35,5,334.0,120.0
2170,16 Nov 120.00 (AAPL1618W120-O),10.10,10.35,5,334.0,120.0
2173,16 Nov 120.00 (AAPL1618W120-X),10.10,10.35,2,334.0,120.0
2235,16 Nov 125.00 (AAPL1618W125),15.10,15.35,33,334.0,125.0
2241,16 Nov 125.00 (AAPL1618W125-E),15.10,15.35,31,334.0,125.0
2242,16 Nov 125.00 (AAPL1618W125-I),15.10,15.35,1,,
2246,16 Nov 125.00 (AAPL1618W125-P),15.05,15.35,1,334.0,125.0
2310,16 Nov 130.00 (AAPL1618W130),20.10,20.35,11,334.0,130.0
2316,16 Nov 130.00 (AAPL1618W130-E),19.85,20.60,10,334.0,130.0
2324,16 Nov 130.00 (AAPL1618W130-Y),20.10,20.35,1,334.0,130.0
2610,16 Nov 95.00 (AAPL1625W95),0.15,0.20,1,334.0,95.0
2612,16 Nov 95.00 (AAPL1625W95-4),0.15,0.20,1,,
2640,16 Nov 100.00 (AAPL1625W100),0.35,0.40,36,,
2646,16 Nov 100.00 (AAPL1625W100-E),0.35,0.40,5,,
2651,16 Nov 100.00 (AAPL1625W100-P),0.35,0.40,10,,
2653,16 Nov 100.00 (AAPL1625W100-X),0.35,0.40,20,,
2654,16 Nov 100.00 (AAPL1625W100-Y),0.35,0.40,1,,
2655,16 Nov 101.00 (AAPL1625W101),0.44,0.48,40,,
2657,16 Nov 101.00 (AAPL1625W101-4),0.43,0.48,5,,
2658,16 Nov 101.00 (AAPL1625W101-8),0.43,0.48,4,,
2659,16 Nov 101.00 (AAPL1625W101-A),0.43,0.48,10,,
2660,16 Nov 101.00 (AAPL1625W101-B),0.43,0.48,1,,
2661,16 Nov 101.00 (AAPL1625W101-E),0.43,0.48,15,,
2668,16 Nov 101.00 (AAPL1625W101-X),0.43,0.48,5,,
2670,16 Nov 102.00 (AAPL1625W102),0.53,0.56,35,,
2676,16 Nov 102.00 (AAPL1625W102-E),0.52,0.56,10,,
2677,16 Nov 102.00 (AAPL1625W102-I),0.53,0.56,20,,
2683,16 Nov 102.00 (AAPL1625W102-X),0.52,0.56,5,,
2685,16 Nov 103.00 (AAPL1625W103),0.64,0.67,40,334.0,103.0
2688,16 Nov 103.00 (AAPL1625W103-8),0.63,0.67,30,334.0,103.0
2691,16 Nov 103.00 (AAPL1625W103-E),0.63,0.67,10,334.0,103.0
2700,16 Nov 104.00 (AAPL1625W104),0.78,0.81,22,,
2703,16 Nov 104.00 (AAPL1625W104-8),0.77,0.81,2,,
2706,16 Nov 104.00 (AAPL1625W104-E),0.77,0.81,1,,
2711,16 Nov 104.00 (AAPL1625W104-P),0.77,0.81,19,,
2715,16 Nov 105.00 (AAPL1625W105),0.95,0.98,399,,
2717,16 Nov 105.00 (AAPL1625W105-4),0.94,0.98,11,,
2718,16 Nov 105.00 (AAPL1625W105-8),0.94,0.98,4,,
2719,16 Nov 105.00 (AAPL1625W105-A),0.94,0.98,1,,
2720,16 Nov 105.00 (AAPL1625W105-B),0.94,0.98,1,,
2721,16 Nov 105.00 (AAPL1625W105-E),0.94,0.98,248,,
2725,16 Nov 105.00 (AAPL1625W105-O),0.94,0.98,10,,
2727,16 Nov 105.00 (AAPL1625W105-S),0.94,0.98,23,,
2728,16 Nov 105.00 (AAPL1625W105-X),0.94,0.98,101,,
2730,16 Nov 106.00 (AAPL1625W106),1.15,1.19,141,334.0,106.0
2732,16 Nov 106.00 (AAPL1625W106-4),1.14,1.19,30,334.0,106.0
2733,16 Nov 106.00 (AAPL1625W106-8),1.14,1.19,31,334.0,106.0
2735,16 Nov 106.00 (AAPL1625W106-B),1.15,1.20,3,,
2736,16 Nov 106.00 (AAPL1625W106-E),1.14,1.19,2,334.0,106.0
2737,16 Nov 106.00 (AAPL1625W106-I),1.14,1.19,33,,
2743,16 Nov 106.00 (AAPL1625W106-X),1.14,1.19,42,,
2745,16 Nov 107.00 (AAPL1625W107),1.40,1.44,79,334.0,107.0
2747,16 Nov 107.00 (AAPL1625W107-4),1.39,1.44,11,,
2748,16 Nov 107.00 (AAPL1625W107-8),1.39,1.44,20,,
2751,16 Nov 107.00 (AAPL1625W107-E),1.39,1.44,29,,
2755,16 Nov 107.00 (AAPL1625W107-O),1.39,1.44,11,,
2757,16 Nov 107.00 (AAPL1625W107-S),1.39,1.44,1,,
2758,16 Nov 107.00 (AAPL1625W107-X),1.39,1.44,5,,
2759,16 Nov 107.00 (AAPL1625W107-Y),1.36,1.44,2,,
2760,16 Nov 108.00 (AAPL1625W108),1.70,1.74,270,334.0,108.0
2762,16 Nov 108.00 (AAPL1625W108-4),1.69,1.78,12,,
2763,16 Nov 108.00 (AAPL1625W108-8),1.69,1.77,49,334.0,108.0
2764,16 Nov 108.00 (AAPL1625W108-A),1.69,1.75,14,334.0,108.0
2765,16 Nov 108.00 (AAPL1625W108-B),1.69,1.78,14,,
2766,16 Nov 108.00 (AAPL1625W108-E),1.69,1.76,29,,
2767,16 Nov 108.00 (AAPL1625W108-I),1.70,1.75,71,334.0,108.0
2770,16 Nov 108.00 (AAPL1625W108-O),1.70,1.74,2,,
2771,16 Nov 108.00 (AAPL1625W108-P),1.70,1.74,21,,
2773,16 Nov 108.00 (AAPL1625W108-X),1.69,1.77,58,,
2775,16 Nov 109.00 (AAPL1625W109),2.06,2.12,139,334.0,109.0
2777,16 Nov 109.00 (AAPL1625W109-4),2.05,2.12,10,,
2778,16 Nov 109.00 (AAPL1625W109-8),2.05,2.12,10,334.0,109.0
2779,16 Nov 109.00 (AAPL1625W109-A),2.05,2.12,6,,
2780,16 Nov 109.00 (AAPL1625W109-B),2.05,2.12,16,,
2781,16 Nov 109.00 (AAPL1625W109-E),2.05,2.12,20,334.0,109.0
2782,16 Nov 109.00 (AAPL1625W109-I),2.06,2.12,7,,
2785,16 Nov 109.00 (AAPL1625W109-O),2.06,2.12,4,,
2786,16 Nov 109.00 (AAPL1625W109-P),2.06,2.12,1,334.0,109.0
2788,16 Nov 109.00 (AAPL1625W109-X),2.05,2.12,64,334.0,109.0
2789,16 Nov 109.00 (AAPL1625W109-Y),2.06,2.12,1,,
2790,16 Nov 110.00 (AAPL1625W110),2.48,2.55,530,334.0,110.0
2792,16 Nov 110.00 (AAPL1625W110-4),2.47,2.55,51,334.0,110.0
2793,16 Nov 110.00 (AAPL1625W110-8),2.47,2.55,8,334.0,110.0
2795,16 Nov 110.00 (AAPL1625W110-B),2.47,2.56,1,334.0,110.0
2796,16 Nov 110.00 (AAPL1625W110-E),2.47,2.55,137,334.0,110.0
2797,16 Nov 110.00 (AAPL1625W110-I),2.48,2.55,153,334.0,110.0
2800,16 Nov 110.00 (AAPL1625W110-O),2.48,2.55,77,334.0,110.0
2801,16 Nov 110.00 (AAPL1625W110-P),2.47,2.55,54,334.0,110.0
2802,16 Nov 110.00 (AAPL1625W110-S),2.47,2.55,1,,
2803,16 Nov 110.00 (AAPL1625W110-X),2.47,2.55,13,334.0,110.0
2804,16 Nov 110.00 (AAPL1625W110-Y),2.48,2.55,35,,
2805,16 Nov 111.00 (AAPL1625W111),2.96,3.05,49,334.0,111.0
2807,16 Nov 111.00 (AAPL1625W111-4),2.96,3.05,11,334.0,111.0
2808,16 Nov 111.00 (AAPL1625W111-8),2.96,3.05,23,334.0,111.0
2809,16 Nov 111.00 (AAPL1625W111-A),2.96,3.05,5,334.0,111.0
2811,16 Nov 111.00 (AAPL1625W111-E),2.96,3.05,9,334.0,111.0
2819,16 Nov 111.00 (AAPL1625W111-Y),2.96,3.05,1,,
2820,16 Nov 112.00 (AAPL1625W112),3.50,3.65,131,334.0,112.0
2822,16 Nov 112.00 (AAPL1625W112-4),3.50,3.65,50,334.0,112.0
2823,16 Nov 112.00 (AAPL1625W112-8),3.50,3.65,1,334.0,112.0
2825,16 Nov 112.00 (AAPL1625W112-B),3.45,3.65,1,334.0,112.0
2826,16 Nov 112.00 (AAPL1625W112-E),3.50,3.65,39,334.0,112.0
2830,16 Nov 112.00 (AAPL1625W112-O),3.50,3.65,26,334.0,112.0
2831,16 Nov 112.00 (AAPL1625W112-P),3.50,3.65,11,334.0,112.0
2833,16 Nov 112.00 (AAPL1625W112-X),3.50,3.65,1,334.0,112.0
2834,16 Nov 112.00 (AAPL1625W112-Y),3.50,3.65,2,,
2835,16 Nov 113.00 (AAPL1625W113),4.15,4.30,24,334.0,113.0
2838,16 Nov 113.00 (AAPL1625W113-8),4.15,4.30,3,334.0,113.0
2841,16 Nov 113.00 (AAPL1625W113-E),4.15,4.30,20,334.0,113.0
2849,16 Nov 113.00 (AAPL1625W113-Y),4.15,4.30,1,,
2850,16 Nov 114.00 (AAPL1625W114),4.85,5.00,10,334.0,114.0
2853,16 Nov 114.00 (AAPL1625W114-8),4.85,5.00,3,334.0,114.0
2860,16 Nov 114.00 (AAPL1625W114-O),4.85,5.00,4,334.0,114.0
2861,16 Nov 114.00 (AAPL1625W114-P),4.85,5.00,1,334.0,114.0
2863,16 Nov 114.00 (AAPL1625W114-X),4.85,5.00,2,334.0,114.0
2865,16 Nov 115.00 (AAPL1625W115),5.60,5.75,67,334.0,115.0
2868,16 Nov 115.00 (AAPL1625W115-8),5.60,5.80,34,334.0,115.0
2870,16 Nov 115.00 (AAPL1625W115-B),5.60,5.80,1,334.0,115.0
2871,16 Nov 115.00 (AAPL1625W115-E),5.60,5.75,20,334.0,115.0
2872,16 Nov 115.00 (AAPL1625W115-I),5.60,5.75,2,334.0,115.0
2878,16 Nov 115.00 (AAPL1625W115-X),5.60,5.75,10,334.0,115.0
2880,16 Nov 116.00 (AAPL1625W116),6.45,6.60,30,334.0,116.0
2883,16 Nov 116.00 (AAPL1625W116-8),6.45,6.65,20,,
2886,16 Nov 116.00 (AAPL1625W116-E),6.45,6.65,7,334.0,116.0
2891,16 Nov 116.00 (AAPL1625W116-P),6.45,6.65,3,334.0,116.0
2895,16 Nov 117.00 (AAPL1625W117),7.35,7.50,40,334.0,117.0
2898,16 Nov 117.00 (AAPL1625W117-8),7.35,7.50,1,334.0,117.0
2899,16 Nov 117.00 (AAPL1625W117-A),7.35,7.50,1,334.0,117.0
2900,16 Nov 117.00 (AAPL1625W117-B),7.35,7.50,1,,
2901,16 Nov 117.00 (AAPL1625W117-E),7.35,7.50,33,334.0,117.0
2906,16 Nov 117.00 (AAPL1625W117-P),7.35,7.50,1,334.0,117.0
2909,16 Nov 117.00 (AAPL1625W117-Y),7.35,7.50,3,,
2910,16 Nov 118.00 (AAPL1625W118),8.25,8.45,16,334.0,118.0
2916,16 Nov 118.00 (AAPL1625W118-E),8.25,8.45,15,,
2917,16 Nov 118.00 (AAPL1625W118-I),8.25,8.45,1,334.0,118.0
2925,16 Nov 119.00 (AAPL1625W119),9.20,9.40,25,334.0,119.0
2931,16 Nov 119.00 (AAPL1625W119-E),9.20,9.40,20,334.0,119.0
2936,16 Nov 119.00 (AAPL1625W119-P),9.20,9.40,5,334.0,119.0
2940,16 Nov 120.00 (AAPL1625W120),10.15,10.40,1,334.0,120.0
2954,16 Nov 120.00 (AAPL1625W120-Y),10.15,10.40,1,,
3165,16 Dec 99.00 (AAPL1602X99),0.40,0.45,1,,
3167,16 Dec 99.00 (AAPL1602X99-4),0.40,0.45,1,,
3180,16 Dec 100.00 (AAPL1602X100),0.48,0.52,44,,
3183,16 Dec 100.00 (AAPL1602X100-8),0.48,0.52,3,,
3184,16 Dec 100.00 (AAPL1602X100-A),0.48,0.52,6,,
3186,16 Dec 100.00 (AAPL1602X100-E),0.48,0.52,23,,
3187,16 Dec 100.00 (AAPL1602X100-I),0.48,0.52,10,,
3193,16 Dec 100.00 (AAPL1602X100-X),0.48,0.52,2,,
3195,16 Dec 101.00 (AAPL1602X101),0.57,0.61,11,,
3201,16 Dec 101.00 (AAPL1602X101-E),0.57,0.61,10,,
3209,16 Dec 101.00 (AAPL1602X101-Y),0.57,0.61,1,,
3210,16 Dec 102.00 (AAPL1602X102),0.68,0.72,1,,
3216,16 Dec 102.00 (AAPL1602X102-E),0.67,0.72,1,,
3240,16 Dec 104.00 (AAPL1602X104),0.97,1.01,2,,
3246,16 Dec 104.00 (AAPL1602X104-E),0.96,1.01,2,,
3255,16 Dec 105.00 (AAPL1602X105),1.16,1.20,34,,
3258,16 Dec 105.00 (AAPL1602X105-8),1.15,1.20,5,,
3261,16 Dec 105.00 (AAPL1602X105-E),1.15,1.20,29,,
3270,16 Dec 106.00 (AAPL1602X106),1.38,1.43,19,,
3273,16 Dec 106.00 (AAPL1602X106-8),1.38,1.43,5,,
3276,16 Dec 106.00 (AAPL1602X106-E),1.38,1.43,11,,
3283,16 Dec 106.00 (AAPL1602X106-X),1.38,1.43,3,,
3285,16 Dec 107.00 (AAPL1602X107),1.65,1.71,9,365.0,107.0
3288,16 Dec 107.00 (AAPL1602X107-8),1.65,1.71,5,,
3291,16 Dec 107.00 (AAPL1602X107-E),1.65,1.71,4,,
3300,16 Dec 108.00 (AAPL1602X108),1.96,2.02,27,365.0,108.0
3302,16 Dec 108.00 (AAPL1602X108-4),1.96,2.03,2,,
3303,16 Dec 108.00 (AAPL1602X108-8),1.96,2.04,1,,
3304,16 Dec 108.00 (AAPL1602X108-A),1.96,2.06,2,,
3305,16 Dec 108.00 (AAPL1602X108-B),1.96,2.03,1,,
3306,16 Dec 108.00 (AAPL1602X108-E),1.96,2.03,17,365.0,108.0
3310,16 Dec 108.00 (AAPL1602X108-O),1.97,2.02,1,,
3313,16 Dec 108.00 (AAPL1602X108-X),1.96,2.04,3,,
3315,16 Dec 109.00 (AAPL1602X109),2.34,2.41,51,365.0,109.0
3318,16 Dec 109.00 (AAPL1602X109-8),2.33,2.41,10,,
3319,16 Dec 109.00 (AAPL1602X109-A),2.33,2.41,5,,
3321,16 Dec 109.00 (AAPL1602X109-E),2.33,2.41,6,,
3326,16 Dec 109.00 (AAPL1602X109-P),2.34,2.41,30,365.0,109.0
3330,16 Dec 110.00 (AAPL1602X110),2.77,2.84,121,365.0,110.0
3332,16 Dec 110.00 (AAPL1602X110-4),2.76,2.84,5,365.0,110.0
3333,16 Dec 110.00 (AAPL1602X110-8),2.76,2.84,3,,
3336,16 Dec 110.00 (AAPL1602X110-E),2.76,2.84,80,365.0,110.0
3338,16 Dec 110.00 (AAPL1602X110-J),2.76,2.84,10,,
3340,16 Dec 110.00 (AAPL1602X110-O),2.77,2.84,1,,
3341,16 Dec 110.00 (AAPL1602X110-P),2.77,2.84,20,365.0,110.0
3343,16 Dec 110.00 (AAPL1602X110-X),2.76,2.84,1,,
3344,16 Dec 110.00 (AAPL1602X110-Y),2.76,2.84,1,,
3345,16 Dec 111.00 (AAPL1602X111),3.25,3.35,118,365.0,111.0
3347,16 Dec 111.00 (AAPL1602X111-4),3.25,3.35,56,365.0,111.0
3348,16 Dec 111.00 (AAPL1602X111-8),3.25,3.35,12,365.0,111.0
3349,16 Dec 111.00 (AAPL1602X111-A),3.25,3.35,11,,
3351,16 Dec 111.00 (AAPL1602X111-E),3.25,3.35,18,365.0,111.0
3352,16 Dec 111.00 (AAPL1602X111-I),3.25,3.35,10,,
3355,16 Dec 111.00 (AAPL1602X111-O),3.25,3.35,2,,
3356,16 Dec 111.00 (AAPL1602X111-P),3.25,3.35,5,365.0,111.0
3357,16 Dec 111.00 (AAPL1602X111-S),3.25,3.35,1,,
3358,16 Dec 111.00 (AAPL1602X111-X),3.25,3.35,3,,
3360,16 Dec 112.00 (AAPL1602X112),3.75,3.95,36,365.0,112.0
3366,16 Dec 112.00 (AAPL1602X112-E),3.75,3.95,35,365.0,112.0
3374,16 Dec 112.00 (AAPL1602X112-Y),3.75,3.95,1,,
3375,16 Dec 113.00 (AAPL1602X113),4.40,4.55,22,365.0,113.0
3378,16 Dec 113.00 (AAPL1602X113-8),4.40,4.55,14,365.0,113.0
3381,16 Dec 113.00 (AAPL1602X113-E),4.40,4.55,3,365.0,113.0
3383,16 Dec 113.00 (AAPL1602X113-J),4.40,4.55,2,,
3386,16 Dec 113.00 (AAPL1602X113-P),4.40,4.55,2,,
3389,16 Dec 113.00 (AAPL1602X113-Y),4.40,4.55,1,365.0,113.0
3390,16 Dec 114.00 (AAPL1602X114),5.10,5.25,8,365.0,114.0
3393,16 Dec 114.00 (AAPL1602X114-8),5.10,5.25,1,365.0,114.0
3401,16 Dec 114.00 (AAPL1602X114-P),5.10,5.25,6,365.0,114.0
3404,16 Dec 114.00 (AAPL1602X114-Y),5.10,5.25,1,,
3405,16 Dec 115.00 (AAPL1602X115),5.70,6.00,5,365.0,115.0
3411,16 Dec 115.00 (AAPL1602X115-E),5.70,6.00,5,365.0,115.0
3420,16 Dec 116.00 (AAPL1602X116),6.65,6.85,12,365.0,116.0
3423,16 Dec 116.00 (AAPL1602X116-8),6.65,6.85,10,365.0,116.0
3426,16 Dec 116.00 (AAPL1602X116-E),6.65,6.85,2,365.0,116.0
3435,16 Dec 117.00 (AAPL1602X117),7.45,7.70,3,365.0,117.0
3438,16 Dec 117.00 (AAPL1602X117-8),7.45,7.70,1,365.0,117.0
3445,16 Dec 117.00 (AAPL1602X117-O),7.45,7.70,2,,
3450,16 Dec 118.00 (AAPL1602X118),8.35,8.55,1,365.0,118.0
3453,16 Dec 118.00 (AAPL1602X118-8),8.35,8.55,1,365.0,118.0
3465,16 Dec 119.00 (AAPL1602X119),9.25,9.50,1,365.0,119.0
3470,16 Dec 119.00 (AAPL1602X119-B),9.25,9.50,1,,
3480,16 Dec 120.00 (AAPL1602X120),10.20,10.45,300,365.0,120.0
3483,16 Dec 120.00 (AAPL1602X120-8),10.20,10.45,300,365.0,120.0
3675,16 Dec 95.00 (AAPL1609X95),0.26,0.32,44,,
3678,16 Dec 95.00 (AAPL1609X95-8),0.26,0.32,20,,
3680,16 Dec 95.00 (AAPL1609X95-B),0.26,0.32,4,,
3681,16 Dec 95.00 (AAPL1609X95-E),0.26,0.32,20,,
3690,16 Dec 99.00 (AAPL1609X99),0.50,0.55,10,,
3693,16 Dec 99.00 (AAPL1609X99-8),0.50,0.55,10,,
3705,16 Dec 100.00 (AAPL1609X100),0.59,0.63,2,,
3708,16 Dec 100.00 (AAPL1609X100-8),0.59,0.63,2,,
3720,16 Dec 101.00 (AAPL1609X101),0.69,0.74,1,,
3733,16 Dec 101.00 (AAPL1609X101-X),0.69,0.74,1,,
3735,16 Dec 102.00 (AAPL1609X102),0.82,0.87,11,,
3738,16 Dec 102.00 (AAPL1609X102-8),0.82,0.87,10,,
3741,16 Dec 102.00 (AAPL1609X102-E),0.82,0.87,1,,
3750,16 Dec 103.00 (AAPL1609X103),0.96,1.02,50,,
3753,16 Dec 103.00 (AAPL1609X103-8),0.96,1.02,20,,
3756,16 Dec 103.00 (AAPL1609X103-E),0.96,1.02,20,,
3757,16 Dec 103.00 (AAPL1609X103-I),0.96,1.02,9,,
3761,16 Dec 103.00 (AAPL1609X103-P),0.97,1.02,1,,
3765,16 Dec 104.00 (AAPL1609X104),1.14,1.18,13,,
3769,16 Dec 104.00 (AAPL1609X104-A),1.14,1.18,7,,
3776,16 Dec 104.00 (AAPL1609X104-P),1.15,1.18,5,,
3778,16 Dec 104.00 (AAPL1609X104-X),1.14,1.22,1,,
3780,16 Dec 105.00 (AAPL1609X105),1.35,1.41,6,,
3785,16 Dec 105.00 (AAPL1609X105-B),1.35,1.41,2,,
3786,16 Dec 105.00 (AAPL1609X105-E),1.35,1.41,3,,
3794,16 Dec 105.00 (AAPL1609X105-Y),1.35,1.41,1,,
3795,16 Dec 106.00 (AAPL1609X106),1.59,1.64,2,,
3797,16 Dec 106.00 (AAPL1609X106-4),1.58,1.65,1,,
3806,16 Dec 106.00 (AAPL1609X106-P),1.60,1.65,1,,
3810,16 Dec 107.00 (AAPL1609X107),1.88,1.93,3,,
3813,16 Dec 107.00 (AAPL1609X107-8),1.86,1.95,2,,
3823,16 Dec 107.00 (AAPL1609X107-X),1.88,1.95,1,,
3825,16 Dec 108.00 (AAPL1609X108),2.21,2.27,43,365.0,108.0
3827,16 Dec 108.00 (AAPL1609X108-4),2.17,2.28,4,365.0,108.0
3829,16 Dec 108.00 (AAPL1609X108-A),2.21,2.28,8,,
3830,16 Dec 108.00 (AAPL1609X108-B),2.20,2.28,1,,
3831,16 Dec 108.00 (AAPL1609X108-E),2.21,2.28,16,,
3832,16 Dec 108.00 (AAPL1609X108-I),2.21,2.28,8,,
3835,16 Dec 108.00 (AAPL1609X108-O),2.20,2.28,1,,
3838,16 Dec 108.00 (AAPL1609X108-X),2.21,2.28,5,,
3840,16 Dec 109.00 (AAPL1609X109),2.59,2.64,25,365.0,109.0
3842,16 Dec 109.00 (AAPL1609X109-4),2.59,2.65,2,,
3846,16 Dec 109.00 (AAPL1609X109-E),2.59,2.65,16,365.0,109.0
3847,16 Dec 109.00 (AAPL1609X109-I),2.59,2.66,1,365.0,109.0
3850,16 Dec 109.00 (AAPL1609X109-O),2.59,2.65,6,,
3855,16 Dec 110.00 (AAPL1609X110),3.00,3.10,26,365.0,110.0
3858,16 Dec 110.00 (AAPL1609X110-8),3.00,3.15,5,,
3861,16 Dec 110.00 (AAPL1609X110-E),3.00,3.10,3,365.0,110.0
3868,16 Dec 110.00 (AAPL1609X110-X),3.00,3.10,18,365.0,110.0
3870,16 Dec 111.00 (AAPL1609X111),3.50,3.65,5,365.0,111.0
3872,16 Dec 111.00 (AAPL1609X111-4),3.50,3.65,3,365.0,111.0
3876,16 Dec 111.00 (AAPL1609X111-E),3.50,3.65,2,,
3885,16 Dec 112.00 (AAPL1609X112),4.05,4.20,7,365.0,112.0
3888,16 Dec 112.00 (AAPL1609X112-8),4.05,4.20,6,365.0,112.0
3891,16 Dec 112.00 (AAPL1609X112-E),4.05,4.20,1,365.0,112.0
3900,16 Dec 113.00 (AAPL1609X113),4.65,4.80,3,365.0,113.0
3903,16 Dec 113.00 (AAPL1609X113-8),4.65,4.80,3,365.0,113.0
3915,16 Dec 114.00 (AAPL1609X114),5.30,5.45,16,365.0,114.0
