,Calls,Bid,Ask,Vol,Expiration,Strike
2855,16 Nov 114.00 (AAPL1625K114-B),0.73,0.78,1,334,114.0
2857,16 Nov 114.00 (AAPL1625K114-I),0.73,0.78,4,334,114.0
2860,16 Nov 114.00 (AAPL1625K114-O),0.73,0.78,8,334,114.0
2861,16 Nov 114.00 (AAPL1625K114-P),0.73,0.78,4,334,114.0
2863,16 Nov 114.00 (AAPL1625K114-X),0.73,0.78,6,334,114.0
2864,16 Nov 114.00 (AAPL1625K114-Y),0.73,0.78,1,334,114.0
2865,16 Nov 115.00 (AAPL1625K115),0.52,0.56,203,334,115.0
2867,16 Nov 115.00 (AAPL1625K115-4),0.50,0.56,21,334,115.0
2868,16 Nov 115.00 (AAPL1625K115-8),0.51,0.56,9,334,115.0
2870,16 Nov 115.00 (AAPL1625K115-B),0.51,0.56,13,334,115.0
2871,16 Nov 115.00 (AAPL1625K115-E),0.51,0.56,38,334,115.0
2872,16 Nov 115.00 (AAPL1625K115-I),0.51,0.56,47,334,115.0
2875,16 Nov 115.00 (AAPL1625K115-O),0.51,0.56,2,334,115.0
2876,16 Nov 115.00 (AAPL1625K115-P),0.52,0.56,40,334,115.0
2878,16 Nov 115.00 (AAPL1625K115-X),0.51,0.56,29,334,115.0
2879,16 Nov 115.00 (AAPL1625K115-Y),0.51,0.56,4,334,115.0
2880,16 Nov 116.00 (AAPL1625K116),0.36,0.40,316,334,116.0
2882,16 Nov 116.00 (AAPL1625K116-4),0.35,0.40,165,334,116.0
2885,16 Nov 116.00 (AAPL1625K116-B),0.36,0.40,1,334,116.0
2886,16 Nov 116.00 (AAPL1625K116-E),0.35,0.40,4,334,116.0
2887,16 Nov 116.00 (AAPL1625K116-I),0.35,0.40,1,334,116.0
2891,16 Nov 116.00 (AAPL1625K116-P),0.36,0.40,145,334,116.0
2895,16 Nov 117.00 (AAPL1625K117),0.24,0.29,33,334,117.0
2897,16 Nov 117.00 (AAPL1625K117-4),0.24,0.29,2,334,117.0
2898,16 Nov 117.00 (AAPL1625K117-8),0.23,0.29,4,334,117.0
2899,16 Nov 117.00 (AAPL1625K117-A),0.24,0.29,4,334,117.0
2901,16 Nov 117.00 (AAPL1625K117-E),0.24,0.29,21,334,117.0
2906,16 Nov 117.00 (AAPL1625K117-P),0.24,0.29,2,334,117.0
2910,16 Nov 118.00 (AAPL1625K118),0.17,0.20,127,334,118.0
2914,16 Nov 118.00 (AAPL1625K118-A),0.16,0.20,1,334,118.0
2915,16 Nov 118.00 (AAPL1625K118-B),0.17,0.21,8,334,118.0
2917,16 Nov 118.00 (AAPL1625K118-I),0.17,0.20,104,334,118.0
2920,16 Nov 118.00 (AAPL1625K118-O),0.17,0.20,2,334,118.0
2921,16 Nov 118.00 (AAPL1625K118-P),0.17,0.20,10,334,118.0
2922,16 Nov 118.00 (AAPL1625K118-S),0.15,0.20,2,334,118.0
2925,16 Nov 119.00 (AAPL1625K119),0.11,0.15,224,334,119.0
2927,16 Nov 119.00 (AAPL1625K119-4),0.11,0.15,30,334,119.0
2928,16 Nov 119.00 (AAPL1625K119-8),0.11,0.15,22,334,119.0
2929,16 Nov 119.00 (AAPL1625K119-A),0.11,0.15,40,334,119.0
2931,16 Nov 119.00 (AAPL1625K119-E),0.11,0.15,112,334,119.0
2936,16 Nov 119.00 (AAPL1625K119-P),0.11,0.15,20,334,119.0
2940,16 Nov 120.00 (AAPL1625K120),0.08,0.12,74,334,120.0
2942,16 Nov 120.00 (AAPL1625K120-4),0.07,0.12,60,334,120.0
2943,16 Nov 120.00 (AAPL1625K120-8),0.07,0.12,7,334,120.0
2946,16 Nov 120.00 (AAPL1625K120-E),0.07,0.12,4,334,120.0
2950,16 Nov 120.00 (AAPL1625K120-O),0.07,0.12,3,334,120.0
2955,16 Nov 121.00 (AAPL1625K121),0.05,0.09,1,334,121.0
2958,16 Nov 121.00 (AAPL1625K121-8),0.05,0.09,1,334,121.0
2970,16 Nov 122.00 (AAPL1625K122),0.04,0.07,12,334,122.0
2973,16 Nov 122.00 (AAPL1625K122-8),0.03,0.07,10,334,122.0
2980,16 Nov 122.00 (AAPL1625K122-O),0.04,0.07,2,334,122.0
2985,16 Nov 123.00 (AAPL1625K123),0.02,0.06,1,334,123.0
2988,16 Nov 123.00 (AAPL1625K123-8),0.02,0.06,1,334,123.0
3015,16 Nov 125.00 (AAPL1625K125),0.01,0.04,5,334,125.0
3028,16 Nov 125.00 (AAPL1625K125-X),0.01,0.05,5,334,125.0
3045,16 Nov 127.00 (AAPL1625K127),0.01,0.03,10,334,127.0
3048,16 Nov 127.00 (AAPL1625K127-8),0.0,0.04,10,334,127.0
3090,16 Nov 130.00 (AAPL1625K130),0.0,0.03,10,334,130.0
3097,16 Nov 130.00 (AAPL1625K130-I),0.0,0.03,10,334,130.0
3120,16 Nov 132.00 (AAPL1625K132),0.0,0.02,3,334,132.0
3134,16 Nov 132.00 (AAPL1625K132-Y),0.0,0.02,3,334,132.0
3285,16 Dec 107.00 (AAPL1602L107),4.45,4.60,5,365,107.0
3287,16 Dec 107.00 (AAPL1602L107-4),4.45,4.60,5,365,107.0
3300,16 Dec 108.00 (AAPL1602L108),3.75,3.90,1,365,108.0
3306,16 Dec 108.00 (AAPL1602L108-E),3.75,3.90,1,365,108.0
3315,16 Dec 109.00 (AAPL1602L109),3.15,3.30,31,365,109.0
3322,16 Dec 109.00 (AAPL1602L109-I),3.15,3.30,1,365,109.0
3326,16 Dec 109.00 (AAPL1602L109-P),3.15,3.30,30,365,109.0
3330,16 Dec 110.00 (AAPL1602L110),2.62,2.67,51,365,110.0
3332,16 Dec 110.00 (AAPL1602L110-4),2.61,2.68,5,365,110.0
3335,16 Dec 110.00 (AAPL1602L110-B),2.58,2.67,1,365,110.0
3336,16 Dec 110.00 (AAPL1602L110-E),2.61,2.68,24,365,110.0
3337,16 Dec 110.00 (AAPL1602L110-I),2.61,2.68,11,365,110.0
3341,16 Dec 110.00 (AAPL1602L110-P),2.61,2.67,10,365,110.0
3345,16 Dec 111.00 (AAPL1602L111),2.11,2.16,71,365,111.0
3347,16 Dec 111.00 (AAPL1602L111-4),2.11,2.17,5,365,111.0
3348,16 Dec 111.00 (AAPL1602L111-8),2.11,2.17,1,365,111.0
3350,16 Dec 111.00 (AAPL1602L111-B),2.08,2.17,5,365,111.0
3351,16 Dec 111.00 (AAPL1602L111-E),2.11,2.17,50,365,111.0
3356,16 Dec 111.00 (AAPL1602L111-P),2.11,2.16,10,365,111.0
3360,16 Dec 112.00 (AAPL1602L112),1.68,1.72,87,365,112.0
3363,16 Dec 112.00 (AAPL1602L112-8),1.66,1.72,8,365,112.0
3365,16 Dec 112.00 (AAPL1602L112-B),1.64,1.72,4,365,112.0
3366,16 Dec 112.00 (AAPL1602L112-E),1.66,1.72,10,365,112.0
3367,16 Dec 112.00 (AAPL1602L112-I),1.65,1.72,58,365,112.0
3371,16 Dec 112.00 (AAPL1602L112-P),1.68,1.72,4,365,112.0
3373,16 Dec 112.00 (AAPL1602L112-X),1.65,1.72,3,365,112.0
3375,16 Dec 113.00 (AAPL1602L113),1.31,1.35,24,365,113.0
3378,16 Dec 113.00 (AAPL1602L113-8),1.29,1.35,6,365,113.0
3381,16 Dec 113.00 (AAPL1602L113-E),1.29,1.35,3,365,113.0
3382,16 Dec 113.00 (AAPL1602L113-I),1.30,1.35,14,365,113.0
3389,16 Dec 113.00 (AAPL1602L113-Y),1.30,1.35,1,365,113.0
3390,16 Dec 114.00 (AAPL1602L114),1.00,1.04,45,365,114.0
3392,16 Dec 114.00 (AAPL1602L114-4),1.00,1.06,5,365,114.0
3393,16 Dec 114.00 (AAPL1602L114-8),1.00,1.05,8,365,114.0
3396,16 Dec 114.00 (AAPL1602L114-E),1.00,1.05,15,365,114.0
3400,16 Dec 114.00 (AAPL1602L114-O),1.00,1.04,1,365,114.0
3401,16 Dec 114.00 (AAPL1602L114-P),1.00,1.04,5,365,114.0
3402,16 Dec 114.00 (AAPL1602L114-S),1.00,1.04,3,365,114.0
3403,16 Dec 114.00 (AAPL1602L114-X),1.00,1.05,8,365,114.0
3405,16 Dec 115.00 (AAPL1602L115),0.75,0.79,53,365,115.0
3407,16 Dec 115.00 (AAPL1602L115-4),0.75,0.81,20,365,115.0
3408,16 Dec 115.00 (AAPL1602L115-8),0.75,0.80,1,365,115.0
3411,16 Dec 115.00 (AAPL1602L115-E),0.75,0.80,22,365,115.0
3416,16 Dec 115.00 (AAPL1602L115-P),0.75,0.79,10,365,115.0
3420,16 Dec 116.00 (AAPL1602L116),0.55,0.59,39,365,116.0
3423,16 Dec 116.00 (AAPL1602L116-8),0.55,0.60,8,365,116.0
3426,16 Dec 116.00 (AAPL1602L116-E),0.55,0.60,23,365,116.0
3430,16 Dec 116.00 (AAPL1602L116-O),0.55,0.59,7,365,116.0
3433,16 Dec 116.00 (AAPL1602L116-X),0.55,0.60,1,365,116.0
3435,16 Dec 117.00 (AAPL1602L117),0.41,0.44,8,365,117.0
3436,16 Dec 117.00 (AAPL1602L117-3),0.40,0.44,2,365,117.0
3437,16 Dec 117.00 (AAPL1602L117-4),0.40,0.44,1,365,117.0
3438,16 Dec 117.00 (AAPL1602L117-8),0.40,0.44,1,365,117.0
3441,16 Dec 117.00 (AAPL1602L117-E),0.40,0.44,4,365,117.0
3450,16 Dec 118.00 (AAPL1602L118),0.30,0.34,36,365,118.0
3452,16 Dec 118.00 (AAPL1602L118-4),0.29,0.34,5,365,118.0
3453,16 Dec 118.00 (AAPL1602L118-8),0.29,0.34,9,365,118.0
3456,16 Dec 118.00 (AAPL1602L118-E),0.29,0.34,15,365,118.0
3457,16 Dec 118.00 (AAPL1602L118-I),0.30,0.34,7,365,118.0
3465,16 Dec 119.00 (AAPL1602L119),0.21,0.27,3,365,119.0
3471,16 Dec 119.00 (AAPL1602L119-E),0.21,0.27,2,365,119.0
3472,16 Dec 119.00 (AAPL1602L119-I),0.21,0.27,1,365,119.0
3480,16 Dec 120.00 (AAPL1602L120),0.15,0.19,94,365,120.0
3482,16 Dec 120.00 (AAPL1602L120-4),0.15,0.19,50,365,120.0
3483,16 Dec 120.00 (AAPL1602L120-8),0.15,0.19,5,365,120.0
3485,16 Dec 120.00 (AAPL1602L120-B),0.15,0.19,10,365,120.0
3486,16 Dec 120.00 (AAPL1602L120-E),0.15,0.19,12,365,120.0
3490,16 Dec 120.00 (AAPL1602L120-O),0.15,0.19,15,365,120.0
3493,16 Dec 120.00 (AAPL1602L120-X),0.15,0.19,2,365,120.0
3495,16 Dec 121.00 (AAPL1602L121),0.10,0.15,4,365,121.0
3501,16 Dec 121.00 (AAPL1602L121-E),0.10,0.15,4,365,121.0
3510,16 Dec 122.00 (AAPL1602L122),0.08,0.12,62,365,122.0
3513,16 Dec 122.00 (AAPL1602L122-8),0.08,0.12,12,365,122.0
3514,16 Dec 122.00 (AAPL1602L122-A),0.08,0.12,1,365,122.0
3516,16 Dec 122.00 (AAPL1602L122-E),0.08,0.12,44,365,122.0
3521,16 Dec 122.00 (AAPL1602L122-P),0.08,0.12,1,365,122.0
3523,16 Dec 122.00 (AAPL1602L122-X),0.08,0.12,4,365,122.0
3525,16 Dec 123.00 (AAPL1602L123),0.04,0.09,9,365,123.0
3528,16 Dec 123.00 (AAPL1602L123-8),0.04,0.09,6,365,123.0
3531,16 Dec 123.00 (AAPL1602L123-E),0.04,0.09,3,365,123.0
3540,16 Dec 124.00 (AAPL1602L124),0.04,0.08,52,365,124.0
3543,16 Dec 124.00 (AAPL1602L124-8),0.04,0.08,2,365,124.0
3544,16 Dec 124.00 (AAPL1602L124-A),0.04,0.08,1,365,124.0
3546,16 Dec 124.00 (AAPL1602L124-E),0.04,0.08,44,365,124.0
3551,16 Dec 124.00 (AAPL1602L124-P),0.04,0.08,1,365,124.0
3553,16 Dec 124.00 (AAPL1602L124-X),0.04,0.08,4,365,124.0
3555,16 Dec 125.00 (AAPL1602L125),0.02,0.07,5,365,125.0
3565,16 Dec 125.00 (AAPL1602L125-O),0.02,0.07,5,365,125.0
3570,16 Dec 126.00 (AAPL1602L126),0.01,0.06,1,365,126.0
3576,16 Dec 126.00 (AAPL1602L126-E),0.01,0.06,1,365,126.0
3585,16 Dec 127.00 (AAPL1602L127),0.02,0.04,2,365,127.0
3596,16 Dec 127.00 (AAPL1602L127-P),0.02,0.05,2,365,127.0
3660,16 Dec 132.00 (AAPL1602L132),0.0,0.03,10,365,132.0
3663,16 Dec 132.00 (AAPL1602L132-8),0.0,0.04,10,365,132.0
3825,16 Dec 108.00 (AAPL1609L108),4.05,4.20,1,365,108.0
3827,16 Dec 108.00 (AAPL1609L108-4),4.05,4.20,1,365,108.0
3840,16 Dec 109.00 (AAPL1609L109),3.45,3.55,22,365,109.0
3845,16 Dec 109.00 (AAPL1609L109-B),3.45,3.55,6,365,109.0
3846,16 Dec 109.00 (AAPL1609L109-E),3.45,3.55,15,365,109.0
3847,16 Dec 109.00 (AAPL1609L109-I),3.45,3.55,1,365,109.0
3855,16 Dec 110.00 (AAPL1609L110),2.91,2.98,40,365,110.0
3857,16 Dec 110.00 (AAPL1609L110-4),2.90,2.98,20,365,110.0
3860,16 Dec 110.00 (AAPL1609L110-B),2.90,2.99,1,365,110.0
3861,16 Dec 110.00 (AAPL1609L110-E),2.90,2.98,12,365,110.0
3865,16 Dec 110.00 (AAPL1609L110-O),2.90,2.98,5,365,110.0
3868,16 Dec 110.00 (AAPL1609L110-X),2.90,2.98,2,365,110.0
3870,16 Dec 111.00 (AAPL1609L111),2.41,2.45,7,365,111.0
3872,16 Dec 111.00 (AAPL1609L111-4),2.36,2.47,1,365,111.0
3873,16 Dec 111.00 (AAPL1609L111-8),2.39,2.45,4,365,111.0
3874,16 Dec 111.00 (AAPL1609L111-A),2.40,2.45,2,365,111.0
3885,16 Dec 112.00 (AAPL1609L112),1.96,2.00,88,365,112.0
3887,16 Dec 112.00 (AAPL1609L112-4),1.94,2.04,10,365,112.0
3888,16 Dec 112.00 (AAPL1609L112-8),1.95,2.02,2,365,112.0
3891,16 Dec 112.00 (AAPL1609L112-E),1.95,2.03,3,365,112.0
3892,16 Dec 112.00 (AAPL1609L112-I),1.95,2.01,3,365,112.0
3898,16 Dec 112.00 (AAPL1609L112-X),1.95,2.02,70,365,112.0
3900,16 Dec 113.00 (AAPL1609L113),1.58,1.61,36,365,113.0
3902,16 Dec 113.00 (AAPL1609L113-4),1.56,1.65,1,365,113.0
3903,16 Dec 113.00 (AAPL1609L113-8),1.57,1.63,2,365,113.0
3905,16 Dec 113.00 (AAPL1609L113-B),1.54,1.63,2,365,113.0
3913,16 Dec 113.00 (AAPL1609L113-X),1.57,1.64,6,365,113.0
3914,16 Dec 113.00 (AAPL1609L113-Y),1.57,1.66,25,365,113.0
3915,16 Dec 114.00 (AAPL1609L114),1.25,1.28,97,365,114.0
3917,16 Dec 114.00 (AAPL1609L114-4),1.20,1.29,3,365,114.0
3921,16 Dec 114.00 (AAPL1609L114-E),1.24,1.29,63,365,114.0
3922,16 Dec 114.00 (AAPL1609L114-I),1.24,1.29,5,365,114.0
3927,16 Dec 114.00 (AAPL1609L114-S),0.52,1.30,1,365,114.0
3929,16 Dec 114.00 (AAPL1609L114-Y),1.24,1.29,25,365,114.0
3930,16 Dec 115.00 (AAPL1609L115),0.98,1.01,89,365,115.0
3933,16 Dec 115.00 (AAPL1609L115-8),0.96,1.01,30,365,115.0
3934,16 Dec 115.00 (AAPL1609L115-A),0.96,1.01,13,365,115.0
3936,16 Dec 115.00 (AAPL1609L115-E),0.96,1.02,23,365,115.0
3937,16 Dec 115.00 (AAPL1609L115-I),0.96,1.01,17,365,115.0
3940,16 Dec 115.00 (AAPL1609L115-O),0.96,1.01,1,365,115.0
3941,16 Dec 115.00 (AAPL1609L115-P),0.97,1.01,1,365,115.0
3943,16 Dec 115.00 (AAPL1609L115-X),0.97,1.03,4,365,115.0
3945,16 Dec 116.00 (AAPL1609L116),0.75,0.79,37,365,116.0
3947,16 Dec 116.00 (AAPL1609L116-4),0.72,0.79,1,365,116.0
3948,16 Dec 116.00 (AAPL1609L116-8),0.74,0.79,6,365,116.0
3950,16 Dec 116.00 (AAPL1609L116-B),0.74,0.79,12,365,116.0
3951,16 Dec 116.00 (AAPL1609L116-E),0.74,0.79,6,365,116.0
3955,16 Dec 116.00 (AAPL1609L116-O),0.74,0.79,6,365,116.0
3956,16 Dec 116.00 (AAPL1609L116-P),0.75,0.79,5,365,116.0
3958,16 Dec 116.00 (AAPL1609L116-X),0.74,0.79,1,365,116.0
3960,16 Dec 117.00 (AAPL1609L117),0.57,0.61,32,365,117.0
3963,16 Dec 117.00 (AAPL1609L117-8),0.56,0.61,2,365,117.0
3967,16 Dec 117.00 (AAPL1609L117-I),0.57,0.61,4,365,117.0
3971,16 Dec 117.00 (AAPL1609L117-P),0.57,0.61,15,365,117.0
3973,16 Dec 117.00 (AAPL1609L117-X),0.56,0.61,11,365,117.0
3975,16 Dec 118.00 (AAPL1609L118),0.43,0.47,215,365,118.0
3978,16 Dec 118.00 (AAPL1609L118-8),0.42,0.47,210,365,118.0
3981,16 Dec 118.00 (AAPL1609L118-E),0.42,0.47,4,365,118.0
3986,16 Dec 118.00 (AAPL1609L118-P),0.43,0.47,1,365,118.0
3990,16 Dec 119.00 (AAPL1609L119),0.32,0.37,4,365,119.0
3996,16 Dec 119.00 (AAPL1609L119-E),0.32,0.37,3,365,119.0
3997,16 Dec 119.00 (AAPL1609L119-I),0.32,0.37,1,365,119.0
4005,16 Dec 120.00 (AAPL1609L120),0.24,0.29,314,365,120.0
4009,16 Dec 120.00 (AAPL1609L120-A),0.24,0.29,1,365,120.0
4011,16 Dec 120.00 (AAPL1609L120-E),0.24,0.29,5,365,120.0
4012,16 Dec 120.00 (AAPL1609L120-I),0.24,0.29,308,365,120.0
4515,16 Dec 85.00 (AAPL1616L85),24.85,25.30,200,365,85.0
4518,16 Dec 85.00 (AAPL1616L85-8),24.85,25.30,200,365,85.0
4530,16 Dec 90.00 (AAPL1616L90),19.95,20.25,400,365,90.0
4533,16 Dec 90.00 (AAPL1616L90-8),19.95,20.25,400,365,90.0
4545,16 Dec 95.00 (AAPL1616L95),15.15,15.40,120,365,95.0
4548,16 Dec 95.00 (AAPL1616L95-8),15.15,15.40,100,365,95.0
4551,16 Dec 95.00 (AAPL1616L95-E),15.15,15.40,20,365,95.0
4560,16 Dec 97.50 (AAPL1616L97.5),12.80,13.05,26,365,97.5
4566,16 Dec 97.50 (AAPL1616L97.5-E),12.80,13.05,26,365,97.5
4575,16 Dec 100.00 (AAPL1616L100),10.60,10.75,93,365,100.0
4577,16 Dec 100.00 (AAPL1616L100-4),10.60,10.75,8,365,100.0
4578,16 Dec 100.00 (AAPL1616L100-8),10.50,10.75,2,365,100.0
4581,16 Dec 100.00 (AAPL1616L100-E),10.60,10.75,18,365,100.0
4582,16 Dec 100.00 (AAPL1616L100-I),10.60,10.75,20,365,100.0
4585,16 Dec 100.00 (AAPL1616L100-O),10.60,10.75,5,365,100.0
4586,16 Dec 100.00 (AAPL1616L100-P),10.55,10.75,10,365,100.0
4588,16 Dec 100.00 (AAPL1616L100-X),10.55,10.75,30,365,100.0
4590,16 Dec 105.00 (AAPL1616L105),6.45,6.55,1494,365,105.0
4593,16 Dec 105.00 (AAPL1616L105-8),6.35,6.55,101,365,105.0
4594,16 Dec 105.00 (AAPL1616L105-A),6.40,6.55,94,365,105.0
4595,16 Dec 105.00 (AAPL1616L105-B),6.40,6.55,126,365,105.0
4596,16 Dec 105.00 (AAPL1616L105-E),6.45,6.55,373,365,105.0
4597,16 Dec 105.00 (AAPL1616L105-I),6.45,6.55,238,365,105.0
4600,16 Dec 105.00 (AAPL1616L105-O),6.45,6.55,264,365,105.0
4601,16 Dec 105.00 (AAPL1616L105-P),6.40,6.55,187,365,105.0
4603,16 Dec 105.00 (AAPL1616L105-X),6.45,6.55,111,365,105.0
4605,16 Dec 110.00 (AAPL1616L110),3.20,3.30,5979,365,110.0
4606,16 Dec 110.00 (AAPL1616L110-3),3.20,3.30,76,365,110.0
4607,16 Dec 110.00 (AAPL1616L110-4),3.20,3.30,135,365,110.0
4608,16 Dec 110.00 (AAPL1616L110-8),3.20,3.30,173,365,110.0
4609,16 Dec 110.00 (AAPL1616L110-A),3.20,3.30,56,365,110.0
4610,16 Dec 110.00 (AAPL1616L110-B),3.20,3.30,60,365,110.0
4611,16 Dec 110.00 (AAPL1616L110-E),3.20,3.30,4063,365,110.0
4612,16 Dec 110.00 (AAPL1616L110-I),3.20,3.30,393,365,110.0
4613,16 Dec 110.00 (AAPL1616L110-J),3.20,3.30,3,365,110.0
4614,16 Dec 110.00 (AAPL1616L110-K),1.94,3.30,1,365,110.0
4615,16 Dec 110.00 (AAPL1616L110-O),3.20,3.30,120,365,110.0
4616,16 Dec 110.00 (AAPL1616L110-P),3.20,3.30,663,365,110.0
4617,16 Dec 110.00 (AAPL1616L110-S),3.20,3.30,3,365,110.0
4618,16 Dec 110.00 (AAPL1616L110-X),3.20,3.30,214,365,110.0
4619,16 Dec 110.00 (AAPL1616L110-Y),3.20,3.30,19,365,110.0
4620,16 Dec 115.00 (AAPL1616L115),1.22,1.24,7491,365,115.0
4621,16 Dec 115.00 (AAPL1616L115-3),1.22,1.24,3,365,115.0
4622,16 Dec 115.00 (AAPL1616L115-4),1.20,1.24,67,365,115.0
4623,16 Dec 115.00 (AAPL1616L115-8),1.22,1.29,3817,365,115.0
4624,16 Dec 115.00 (AAPL1616L115-A),1.21,1.24,449,365,115.0
4625,16 Dec 115.00 (AAPL1616L115-B),1.20,1.34,120,365,115.0
4626,16 Dec 115.00 (AAPL1616L115-E),1.20,1.24,642,365,115.0
4627,16 Dec 115.00 (AAPL1616L115-I),1.22,1.24,1181,365,115.0
4628,16 Dec 115.00 (AAPL1616L115-J),1.22,1.33,44,365,115.0
4629,16 Dec 115.00 (AAPL1616L115-K),1.22,1.45,1,365,115.0
4630,16 Dec 115.00 (AAPL1616L115-O),1.22,1.24,319,365,115.0
4631,16 Dec 115.00 (AAPL1616L115-P),1.22,1.24,285,365,115.0
4632,16 Dec 115.00 (AAPL1616L115-S),1.21,1.24,105,365,115.0
4633,16 Dec 115.00 (AAPL1616L115-X),1.20,1.24,194,365,115.0
4634,16 Dec 115.00 (AAPL1616L115-Y),1.17,1.24,264,365,115.0
4635,16 Dec 120.00 (AAPL1616L120),0.36,0.37,12245,365,120.0
4636,16 Dec 120.00 (AAPL1616L120-3),0.34,0.42,11,365,120.0
4637,16 Dec 120.00 (AAPL1616L120-4),0.35,0.39,71,365,120.0
4638,16 Dec 120.00 (AAPL1616L120-8),0.35,0.49,453,365,120.0
4639,16 Dec 120.00 (AAPL1616L120-A),0.36,0.40,177,365,120.0
4640,16 Dec 120.00 (AAPL1616L120-B),0.35,0.46,72,365,120.0
4641,16 Dec 120.00 (AAPL1616L120-E),0.35,0.39,833,365,120.0
4642,16 Dec 120.00 (AAPL1616L120-I),0.36,0.37,197,365,120.0
4645,16 Dec 120.00 (AAPL1616L120-O),0.36,0.37,64,365,120.0
4646,16 Dec 120.00 (AAPL1616L120-P),0.35,0.40,10036,365,120.0
4647,16 Dec 120.00 (AAPL1616L120-S),0.35,0.37,53,365,120.0
4648,16 Dec 120.00 (AAPL1616L120-X),0.35,0.39,261,365,120.0
4649,16 Dec 120.00 (AAPL1616L120-Y),0.36,0.42,17,365,120.0
4650,16 Dec 125.00 (AAPL1616L125),0.11,0.12,2306,365,125.0
4651,16 Dec 125.00 (AAPL1616L125-3),0.10,0.18,10,365,125.0
4652,16 Dec 125.00 (AAPL1616L125-4),0.10,0.14,258,365,125.0
4653,16 Dec 125.00 (AAPL1616L125-8),0.11,0.16,299,365,125.0
4654,16 Dec 125.00 (AAPL1616L125-A),0.10,0.14,106,365,125.0
4655,16 Dec 125.00 (AAPL1616L125-B),0.10,0.16,42,365,125.0
4656,16 Dec 125.00 (AAPL1616L125-E),0.10,0.14,123,365,125.0
4657,16 Dec 125.00 (AAPL1616L125-I),0.11,0.12,684,365,125.0
4660,16 Dec 125.00 (AAPL1616L125-O),0.11,0.12,109,365,125.0
4661,16 Dec 125.00 (AAPL1616L125-P),0.11,0.14,14,365,125.0
4662,16 Dec 125.00 (AAPL1616L125-S),0.11,0.14,211,365,125.0
4663,16 Dec 125.00 (AAPL1616L125-X),0.10,0.14,158,365,125.0
4664,16 Dec 125.00 (AAPL1616L125-Y),0.11,0.12,292,365,125.0
4665,16 Dec 130.00 (AAPL1616L130),0.05,0.06,205,365,130.0
4668,16 Dec 130.00 (AAPL1616L130-8),0.04,0.07,65,365,130.0
4671,16 Dec 130.00 (AAPL1616L130-E),0.04,0.10,51,365,130.0
4672,16 Dec 130.00 (AAPL1616L130-I),0.05,0.06,22,365,130.0
4676,16 Dec 130.00 (AAPL1616L130-P),0.05,0.06,7,365,130.0
4678,16 Dec 130.00 (AAPL1616L130-X),0.04,0.07,55,365,130.0
4679,16 Dec 130.00 (AAPL1616L130-Y),0.05,0.06,5,365,130.0
4680,16 Dec 135.00 (AAPL1616L135),0.02,0.04,38,365,135.0
4683,16 Dec 135.00 (AAPL1616L135-8),0.02,0.04,2,365,135.0
4685,16 Dec 135.00 (AAPL1616L135-B),0.02,0.05,13,365,135.0
4686,16 Dec 135.00 (AAPL1616L135-E),0.02,0.04,2,365,135.0
4687,16 Dec 135.00 (AAPL1616L135-I),0.02,0.04,10,365,135.0
4690,16 Dec 135.00 (AAPL1616L135-O),0.02,0.04,1,365,135.0
4691,16 Dec 135.00 (AAPL1616L135-P),0.02,0.04,10,365,135.0
4710,16 Dec 145.00 (AAPL1616L145),0.01,0.02,1,365,145.0
4715,16 Dec 145.00 (AAPL1616L145-B),0.01,0.04,1,365,145.0
5010,16 Dec 98.50 (AAPL1623L98.5),11.95,12.40,2,365,98.5
5016,16 Dec 98.50 (AAPL1623L98.5-E),11.95,12.40,2,365,98.5
5085,16 Dec 102.00 (AAPL1623L102),8.95,9.25,7,365,102.0
5088,16 Dec 102.00 (AAPL1623L102-8),8.95,9.25,7,365,102.0
5115,16 Dec 104.00 (AAPL1623L104),7.35,7.65,2,365,104.0
5121,16 Dec 104.00 (AAPL1623L104-E),7.35,7.65,2,365,104.0
5175,16 Dec 108.00 (AAPL1623L108),4.55,4.70,5,365,108.0
5181,16 Dec 108.00 (AAPL1623L108-E),4.55,4.70,4,365,108.0
5188,16 Dec 108.00 (AAPL1623L108-X),4.55,4.70,1,365,108.0
5190,16 Dec 109.00 (AAPL1623L109),4.00,4.10,103,365,109.0
5196,16 Dec 109.00 (AAPL1623L109-E),4.00,4.10,66,365,109.0
5201,16 Dec 109.00 (AAPL1623L109-P),4.00,4.10,25,365,109.0
5202,16 Dec 109.00 (AAPL1623L109-S),4.00,4.10,12,365,109.0
5205,16 Dec 110.00 (AAPL1623L110),3.45,3.55,83,365,110.0
5207,16 Dec 110.00 (AAPL1623L110-4),3.45,3.55,1,365,110.0
5211,16 Dec 110.00 (AAPL1623L110-E),3.45,3.55,20,365,110.0
5215,16 Dec 110.00 (AAPL1623L110-O),3.45,3.55,50,365,110.0
5218,16 Dec 110.00 (AAPL1623L110-X),3.45,3.55,12,365,110.0
5220,16 Dec 111.00 (AAPL1623L111),2.93,3.05,21,365,111.0
5224,16 Dec 111.00 (AAPL1623L111-A),2.92,3.05,21,365,111.0
5235,16 Dec 112.00 (AAPL1623L112),2.50,2.54,16,365,112.0
5238,16 Dec 112.00 (AAPL1623L112-8),2.50,2.55,1,365,112.0
5241,16 Dec 112.00 (AAPL1623L112-E),2.50,2.55,7,365,112.0
5245,16 Dec 112.00 (AAPL1623L112-O),2.50,2.55,4,365,112.0
